Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
15/05/2023;4.110.525;1.686.495;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;19:50;19:55;5
16/05/2023;4.110.741;1.685.193;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;00:45;00:55;10
16/05/2023;4.111.778;1.684.005;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;09:50;10:05;15
16/05/2023;4.111.772;1.683.981;si;Strada Urbana;Rotatoria;Asciutto;Asfaltata;Nuvoloso;Intenso;no;no;10:30;10:50;20
16/05/2023;4.113.296;1.682.253;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;si;si;11:15;11:30;15
16/05/2023;4.113.306;1.682.228;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;si;11:40;11:50;10
16/05/2023;4.112.361;1.681.624;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;12:25;12:28;3
16/05/2023;4.110.721.934;1.686.664.686;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;12:45;12:55;10
16/05/2023;4.113.427;1.681.746;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;14:50;15:00;10
16/05/2023;4.110.663;1.687.366;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;16:00;16:10;10
16/05/2023;4.115.445;1.678.484;si;Strada Urbana;Intersezione non regolata/non segnalata;Asciutto;Asfaltata;Nuvoloso;Scarso;si;si;17:35;17:45;10
16/05/2023;4.110.514;1.682.041;si;Statale entro l'abitato;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;19:10;19:30;20
16/05/2023;410.965.777;168.585.052;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;no;20:30;20:45;15
16/05/2023;4.110.279;1.687.778;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Nuvoloso;Scarso;no;no;00:05;00:10;5
17/05/2023;4.111.338;1.687.224;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Nuvoloso;Scarso;no;no;01:20;01:25;5
17/05/2023;4.113.737;1.681.355;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;07:45;07:50;5
17/05/2023;4.112.191;1.679.794;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Sereno;Normale;no;no;08:40;09:00;20
17/05/2023;4.112.181;1.687.151;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;09:00;09:20;20
17/05/2023;4.111.212.812;1.690.077.603;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;10:20;10:30;10
17/05/2023;4.110.215;1.682.166;no;Statale;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;11:30;11:50;20
