NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;05/09/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;06/09/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;07/09/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;08/09/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;09/09/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;10/09/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;11/09/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;12/09/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;13/09/2023;Bari;Altamura;PM10;33;7
Altamura - Via Santeramo;14/09/2023;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;15/09/2023;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;16/09/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;17/09/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;18/09/2023;Bari;Altamura;PM10;39;7
Altamura - Via Santeramo;19/09/2023;Bari;Altamura;PM10;56;7
Altamura - Via Santeramo;20/09/2023;Bari;Altamura;PM10;45;7
Altamura - Via Santeramo;21/09/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;22/09/2023;Bari;Altamura;PM10;47;7
Altamura - Via Santeramo;23/09/2023;Bari;Altamura;PM10;35;7
Altamura - Via Santeramo;24/09/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;25/09/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;26/09/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;27/09/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;28/09/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;29/09/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;30/09/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;01/10/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;02/10/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;03/10/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;04/10/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;05/10/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;06/10/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;07/10/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;08/10/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;09/10/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;10/10/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;11/10/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;12/10/2023;Bari;Altamura;PM10;33;7
Altamura - Via Santeramo;13/10/2023;Bari;Altamura;PM10;42;7
Altamura - Via Santeramo;14/10/2023;Bari;Altamura;PM10;33;7
Altamura - Via Santeramo;15/10/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;16/10/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;17/10/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;18/10/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;19/10/2023;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;20/10/2023;Bari;Altamura;PM10;37;7
Altamura - Via Santeramo;21/10/2023;Bari;Altamura;PM10;46;7
Altamura - Via Santeramo;22/10/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;23/10/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;24/10/2023;Bari;Altamura;PM10;41;7
Altamura - Via Santeramo;25/10/2023;Bari;Altamura;PM10;52;7
